#Temp #Spin    #Susc      #energy  #capacity
2.105 0.866197 0.087583 -0.786836 0.061240
2.063 0.886966 0.072203 -0.821750 0.058036
2.084 0.876599 0.082151 -0.804292 0.059747
2.042 0.895563 0.066883 -0.838797 0.056787
2.021 0.903772 0.060032 -0.855728 0.054522
2.000 0.911051 0.055303 -0.872665 0.053379
2.232 0.759568 0.165575 -0.675294 0.074122
2.189 0.802847 0.137809 -0.712952 0.070624
2.168 0.820084 0.127056 -0.731547 0.068638
2.211 0.783025 0.149999 -0.694104 0.072073
2.147 0.837751 0.111247 -0.750523 0.066327
2.126 0.851854 0.100026 -0.768277 0.063772
2.358 0.583260 0.231571 -0.559624 0.077089
2.337 0.612192 0.227336 -0.577444 0.077421
2.316 0.647153 0.217482 -0.597725 0.077991
2.274 0.709849 0.192358 -0.637126 0.076201
2.295 0.681731 0.203917 -0.618436 0.076428
2.253 0.737400 0.177983 -0.656956 0.075248
2.400 0.516196 0.237837 -0.522893 0.073433
2.379 0.549840 0.236130 -0.540523 0.075258
